OBJECTID,CSA2010,mort44_11,mort44_12,mort44_13,mort44_14,mort44_15,mort44_16,mort44_17,mort44_18,SHAPE_Length,SHAPE_Area
29,Howard Park/West Arlington,40.01702852,30.651341,22.13707961,24.69135802,22.13707961,22.98850575,23.83993189,23.83993189,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,6.931836937,5.611487044,3.630962205,4.291137151,5.941574517,5.941574517,6.27166199,6.601749464,43415.0595477941,24995836.2620936
31,Lauraville,20.1183432,18.34319527,15.38461538,15.97633136,14.79289941,14.20118343,21.89349112,22.4852071,34419.6765281197,49665744.2382935
32,Loch Raven,24.20350704,23.70955792,18.77006668,21.73376142,24.69745616,22.72165967,26.17930353,27.16720178,29314.3346718106,44147812.3259686
33,Madison/East End,53.71900826,42.3553719,33.05785124,32.02479339,29.95867769,36.15702479,36.15702479,40.2892562,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,17.40669715,14.75143827,11.50612185,15.04646703,15.04646703,12.68623691,13.86635197,15.3414958,43152.6256992199,62441489.2397897
35,Midtown,16.95777514,14.92284212,12.5487536,12.5487536,13.22706461,13.22706461,15.26199763,15.94030863,25020.0969697781,23823949.929494
36,Midway/Coldstream,59.79202773,41.59445407,30.32928943,38.12824957,40.72790295,45.06065858,52.85961872,51.99306759,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,25.58139535,20.15503876,16.27906977,21.70542636,25.58139535,31.78294574,36.43410853,41.08527132,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,5.277044855,6.596306069,6.596306069,10.55408971,9.234828496,9.234828496,13.19261214,14.51187335,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,9.353507565,7.152682256,6.052269601,7.152682256,5.502063274,8.253094911,8.253094911,7.702888583,42904.2221443837,74923987.6939622
40,Northwood,30.00882613,25.88996764,21.18270079,18.82906737,20.00588408,18.82906737,20.00588408,20.59429244,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,32.5443787,28.10650888,21.44970414,26.62721893,31.80473373,40.68047337,42.89940828,42.15976331,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,24.15766052,19.70756516,13.98601399,16.52892562,17.16465353,19.07183725,22.8862047,24.79338843,47825.8629265765,89894372.2114828
43,Patterson Park North & East,22.00366728,19.66994499,15.00250042,16.33605601,17.00283381,17.6696116,17.00283381,16.66944491,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,49.96156802,49.96156802,40.73789393,42.27517294,41.50653344,38.4319754,34.58877786,37.6633359,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,44.40981691,41.29333853,35.83950136,49.86365407,49.08453448,42.85157772,44.40981691,49.08453448,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,49.28131417,36.96098563,27.37850787,23.27173169,28.74743326,45.17453799,49.28131417,49.28131417,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,56.08524958,44.30734717,30.28603477,43.74649467,42.62478968,49.91587213,57.20695457,59.45036455,20987.1433066415,23672092.8680536
48,South Baltimore,8.513225905,10.3374886,7.90513834,8.513225905,7.90513834,7.297050775,4.864700517,6.688963211,68440.0258267645,46353935.42529
49,Southeastern,29.05027933,27.93296089,23.46368715,24.58100559,23.46368715,26.81564246,34.63687151,37.98882682,102291.480547452,111251478.472831
50,Southern Park Heights,43.89312977,41.98473282,31.80661578,39.44020356,33.71501272,38.16793893,40.07633588,47.70992366,24052.2213722085,27876227.5906738
51,Southwest Baltimore,48.10238305,44.13062665,34.86319506,49.86760812,49.86760812,54.28067079,58.25242718,60.90026478,28355.5635813649,37766068.8367913
52,The Waverlies,30.38427167,30.38427167,19.66041108,23.23503128,26.80965147,31.27792672,32.17158177,36.63985702,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,51.66931638,49.2845787,34.18124006,36.56597774,41.3354531,40.54054054,42.92527822,47.69475358,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,29.99516207,28.05999032,24.18964683,31.93033382,27.09240445,28.05999032,29.0275762,27.09240445,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,23.79771939,27.76400595,24.78929103,27.76400595,22.80614774,28.75557759,24.78929103,25.78086267,42573.1244161893,45494092.9497963
